,date,activity,gender,number,x_axis,y_axis,z_axis
0,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,36.0
1,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,36.0
2,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,37.0
3,2011-04-11-13-29-54,brush_teeth,f,1,25.0,51.0,37.0
4,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,37.0
5,2011-04-11-13-29-54,brush_teeth,f,1,27.0,51.0,37.0
6,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,37.0
7,2011-04-11-13-29-54,brush_teeth,f,1,23.0,51.0,38.0
8,2011-04-11-13-29-54,brush_teeth,f,1,25.0,51.0,39.0
9,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,39.0
10,2011-04-11-13-29-54,brush_teeth,f,1,25.0,52.0,39.0
11,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,38.0
12,2011-04-11-13-29-54,brush_teeth,f,1,26.0,49.0,39.0
13,2011-04-11-13-29-54,brush_teeth,f,1,24.0,48.0,39.0
14,2011-04-11-13-29-54,brush_teeth,f,1,24.0,47.0,39.0
15,2011-04-11-13-29-54,brush_teeth,f,1,23.0,47.0,39.0
16,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,39.0
17,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,40.0
18,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,42.0
19,2011-04-11-13-29-54,brush_teeth,f,1,19.0,47.0,43.0
20,2011-04-11-13-29-54,brush_teeth,f,1,19.0,49.0,43.0
21,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,43.0
22,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,44.0
23,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,46.0
24,2011-04-11-13-29-54,brush_teeth,f,1,23.0,47.0,45.0
25,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,45.0
26,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,45.0
27,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,44.0
28,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,43.0
29,2011-04-11-13-29-54,brush_teeth,f,1,24.0,45.0,44.0
30,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,43.0
31,2011-04-11-13-29-54,brush_teeth,f,1,22.0,45.0,43.0
32,2011-04-11-13-29-54,brush_teeth,f,1,22.0,45.0,44.0
33,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,44.0
34,2011-04-11-13-29-54,brush_teeth,f,1,21.0,44.0,44.0
35,2011-04-11-13-29-54,brush_teeth,f,1,22.0,43.0,44.0
36,2011-04-11-13-29-54,brush_teeth,f,1,22.0,43.0,45.0
37,2011-04-11-13-29-54,brush_teeth,f,1,21.0,42.0,46.0
38,2011-04-11-13-29-54,brush_teeth,f,1,21.0,41.0,45.0
39,2011-04-11-13-29-54,brush_teeth,f,1,20.0,45.0,45.0
40,2011-04-11-13-29-54,brush_teeth,f,1,20.0,44.0,47.0
41,2011-04-11-13-29-54,brush_teeth,f,1,20.0,41.0,47.0
42,2011-04-11-13-29-54,brush_teeth,f,1,20.0,43.0,46.0
43,2011-04-11-13-29-54,brush_teeth,f,1,21.0,39.0,47.0
44,2011-04-11-13-29-54,brush_teeth,f,1,22.0,39.0,47.0
45,2011-04-11-13-29-54,brush_teeth,f,1,21.0,41.0,47.0
46,2011-04-11-13-29-54,brush_teeth,f,1,21.0,39.0,47.0
47,2011-04-11-13-29-54,brush_teeth,f,1,18.0,41.0,49.0
48,2011-04-11-13-29-54,brush_teeth,f,1,20.0,39.0,48.0
49,2011-04-11-13-29-54,brush_teeth,f,1,20.0,38.0,47.0
50,2011-04-11-13-29-54,brush_teeth,f,1,19.0,38.0,48.0
51,2011-04-11-13-29-54,brush_teeth,f,1,19.0,39.0,48.0
52,2011-04-11-13-29-54,brush_teeth,f,1,20.0,37.0,49.0
53,2011-04-11-13-29-54,brush_teeth,f,1,20.0,36.0,45.0
54,2011-04-11-13-29-54,brush_teeth,f,1,18.0,38.0,49.0
55,2011-04-11-13-29-54,brush_teeth,f,1,20.0,37.0,49.0
56,2011-04-11-13-29-54,brush_teeth,f,1,17.0,35.0,47.0
57,2011-04-11-13-29-54,brush_teeth,f,1,16.0,38.0,47.0
58,2011-04-11-13-29-54,brush_teeth,f,1,14.0,37.0,46.0
59,2011-04-11-13-29-54,brush_teeth,f,1,14.0,40.0,47.0
60,2011-04-11-13-29-54,brush_teeth,f,1,17.0,39.0,48.0
61,2011-04-11-13-29-54,brush_teeth,f,1,18.0,40.0,46.0
62,2011-04-11-13-29-54,brush_teeth,f,1,20.0,42.0,43.0
63,2011-04-11-13-29-54,brush_teeth,f,1,24.0,44.0,42.0
64,2011-04-11-13-29-54,brush_teeth,f,1,24.0,43.0,45.0
65,2011-04-11-13-29-54,brush_teeth,f,1,28.0,43.0,43.0
66,2011-04-11-13-29-54,brush_teeth,f,1,29.0,49.0,43.0
67,2011-04-11-13-29-54,brush_teeth,f,1,29.0,47.0,43.0
68,2011-04-11-13-29-54,brush_teeth,f,1,30.0,49.0,43.0
69,2011-04-11-13-29-54,brush_teeth,f,1,28.0,49.0,44.0
70,2011-04-11-13-29-54,brush_teeth,f,1,27.0,51.0,44.0
71,2011-04-11-13-29-54,brush_teeth,f,1,27.0,49.0,43.0
72,2011-04-11-13-29-54,brush_teeth,f,1,26.0,47.0,42.0
73,2011-04-11-13-29-54,brush_teeth,f,1,24.0,48.0,45.0
74,2011-04-11-13-29-54,brush_teeth,f,1,24.0,50.0,43.0
75,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,42.0
76,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,42.0
77,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,41.0
78,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,41.0
79,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,42.0
80,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0
81,2011-04-11-13-29-54,brush_teeth,f,1,20.0,51.0,37.0
82,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0
83,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
84,2011-04-11-13-29-54,brush_teeth,f,1,20.0,49.0,39.0
85,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0
86,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,39.0
87,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,40.0
88,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,38.0
89,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0
90,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,39.0
91,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,38.0
92,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,38.0
93,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
94,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,40.0
95,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0
96,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0
97,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,39.0
