,date,activity,gender,number,x_axis,y_axis,z_axis,axis_avg
0,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,36.0,37.666666666666664
1,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,36.0,37.666666666666664
2,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,37.0,38.0
3,2011-04-11-13-29-54,brush_teeth,f,1,25.0,51.0,37.0,37.666666666666664
4,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,37.0,38.0
5,2011-04-11-13-29-54,brush_teeth,f,1,27.0,51.0,37.0,38.333333333333336
6,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,37.0,38.0
7,2011-04-11-13-29-54,brush_teeth,f,1,23.0,51.0,38.0,37.333333333333336
8,2011-04-11-13-29-54,brush_teeth,f,1,25.0,51.0,39.0,38.333333333333336
9,2011-04-11-13-29-54,brush_teeth,f,1,26.0,51.0,39.0,38.666666666666664
10,2011-04-11-13-29-54,brush_teeth,f,1,25.0,52.0,39.0,38.666666666666664
11,2011-04-11-13-29-54,brush_teeth,f,1,25.0,50.0,38.0,37.666666666666664
12,2011-04-11-13-29-54,brush_teeth,f,1,26.0,49.0,39.0,38.0
13,2011-04-11-13-29-54,brush_teeth,f,1,24.0,48.0,39.0,37.0
14,2011-04-11-13-29-54,brush_teeth,f,1,24.0,47.0,39.0,36.666666666666664
15,2011-04-11-13-29-54,brush_teeth,f,1,23.0,47.0,39.0,36.333333333333336
16,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,39.0,35.666666666666664
17,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,40.0,36.0
18,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,42.0,36.666666666666664
19,2011-04-11-13-29-54,brush_teeth,f,1,19.0,47.0,43.0,36.333333333333336
20,2011-04-11-13-29-54,brush_teeth,f,1,19.0,49.0,43.0,37.0
21,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,43.0,37.0
22,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,44.0,37.666666666666664
23,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,46.0,39.0
24,2011-04-11-13-29-54,brush_teeth,f,1,23.0,47.0,45.0,38.333333333333336
25,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,45.0,38.0
26,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,45.0,38.666666666666664
27,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,44.0,38.333333333333336
28,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,43.0,38.0
29,2011-04-11-13-29-54,brush_teeth,f,1,24.0,45.0,44.0,37.666666666666664
30,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,43.0,37.333333333333336
31,2011-04-11-13-29-54,brush_teeth,f,1,22.0,45.0,43.0,36.666666666666664
32,2011-04-11-13-29-54,brush_teeth,f,1,22.0,45.0,44.0,37.0
33,2011-04-11-13-29-54,brush_teeth,f,1,21.0,47.0,44.0,37.333333333333336
34,2011-04-11-13-29-54,brush_teeth,f,1,21.0,44.0,44.0,36.333333333333336
35,2011-04-11-13-29-54,brush_teeth,f,1,22.0,43.0,44.0,36.333333333333336
36,2011-04-11-13-29-54,brush_teeth,f,1,22.0,43.0,45.0,36.666666666666664
37,2011-04-11-13-29-54,brush_teeth,f,1,21.0,42.0,46.0,36.333333333333336
38,2011-04-11-13-29-54,brush_teeth,f,1,21.0,41.0,45.0,35.666666666666664
39,2011-04-11-13-29-54,brush_teeth,f,1,20.0,45.0,45.0,36.666666666666664
40,2011-04-11-13-29-54,brush_teeth,f,1,20.0,44.0,47.0,37.0
41,2011-04-11-13-29-54,brush_teeth,f,1,20.0,41.0,47.0,36.0
42,2011-04-11-13-29-54,brush_teeth,f,1,20.0,43.0,46.0,36.333333333333336
43,2011-04-11-13-29-54,brush_teeth,f,1,21.0,39.0,47.0,35.666666666666664
44,2011-04-11-13-29-54,brush_teeth,f,1,22.0,39.0,47.0,36.0
45,2011-04-11-13-29-54,brush_teeth,f,1,21.0,41.0,47.0,36.333333333333336
46,2011-04-11-13-29-54,brush_teeth,f,1,21.0,39.0,47.0,35.666666666666664
47,2011-04-11-13-29-54,brush_teeth,f,1,18.0,41.0,49.0,36.0
48,2011-04-11-13-29-54,brush_teeth,f,1,20.0,39.0,48.0,35.666666666666664
49,2011-04-11-13-29-54,brush_teeth,f,1,20.0,38.0,47.0,35.0
50,2011-04-11-13-29-54,brush_teeth,f,1,19.0,38.0,48.0,35.0
51,2011-04-11-13-29-54,brush_teeth,f,1,19.0,39.0,48.0,35.333333333333336
52,2011-04-11-13-29-54,brush_teeth,f,1,20.0,37.0,49.0,35.333333333333336
53,2011-04-11-13-29-54,brush_teeth,f,1,20.0,36.0,45.0,33.666666666666664
54,2011-04-11-13-29-54,brush_teeth,f,1,18.0,38.0,49.0,35.0
55,2011-04-11-13-29-54,brush_teeth,f,1,20.0,37.0,49.0,35.333333333333336
56,2011-04-11-13-29-54,brush_teeth,f,1,17.0,35.0,47.0,33.0
57,2011-04-11-13-29-54,brush_teeth,f,1,16.0,38.0,47.0,33.666666666666664
58,2011-04-11-13-29-54,brush_teeth,f,1,14.0,37.0,46.0,32.333333333333336
59,2011-04-11-13-29-54,brush_teeth,f,1,14.0,40.0,47.0,33.666666666666664
60,2011-04-11-13-29-54,brush_teeth,f,1,17.0,39.0,48.0,34.666666666666664
61,2011-04-11-13-29-54,brush_teeth,f,1,18.0,40.0,46.0,34.666666666666664
62,2011-04-11-13-29-54,brush_teeth,f,1,20.0,42.0,43.0,35.0
63,2011-04-11-13-29-54,brush_teeth,f,1,24.0,44.0,42.0,36.666666666666664
64,2011-04-11-13-29-54,brush_teeth,f,1,24.0,43.0,45.0,37.333333333333336
65,2011-04-11-13-29-54,brush_teeth,f,1,28.0,43.0,43.0,38.0
66,2011-04-11-13-29-54,brush_teeth,f,1,29.0,49.0,43.0,40.333333333333336
67,2011-04-11-13-29-54,brush_teeth,f,1,29.0,47.0,43.0,39.666666666666664
68,2011-04-11-13-29-54,brush_teeth,f,1,30.0,49.0,43.0,40.666666666666664
69,2011-04-11-13-29-54,brush_teeth,f,1,28.0,49.0,44.0,40.333333333333336
70,2011-04-11-13-29-54,brush_teeth,f,1,27.0,51.0,44.0,40.666666666666664
71,2011-04-11-13-29-54,brush_teeth,f,1,27.0,49.0,43.0,39.666666666666664
72,2011-04-11-13-29-54,brush_teeth,f,1,26.0,47.0,42.0,38.333333333333336
73,2011-04-11-13-29-54,brush_teeth,f,1,24.0,48.0,45.0,39.0
74,2011-04-11-13-29-54,brush_teeth,f,1,24.0,50.0,43.0,39.0
75,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,42.0,37.666666666666664
76,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,42.0,37.666666666666664
77,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,41.0,37.666666666666664
78,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,41.0,37.0
79,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,42.0,37.0
80,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0,36.333333333333336
81,2011-04-11-13-29-54,brush_teeth,f,1,20.0,51.0,37.0,36.0
82,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0,36.333333333333336
83,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
84,2011-04-11-13-29-54,brush_teeth,f,1,20.0,49.0,39.0,36.0
85,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0,36.333333333333336
86,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,39.0,37.0
87,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,40.0,37.333333333333336
88,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,38.0,36.666666666666664
89,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0,36.333333333333336
90,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,39.0,37.0
91,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,38.0,36.0
92,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,38.0,36.333333333333336
93,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
94,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,40.0,36.666666666666664
95,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
96,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0,36.333333333333336
97,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,39.0,36.666666666666664
98,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,38.0,36.0
99,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,40.0,36.666666666666664
100,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
101,2011-04-11-13-29-54,brush_teeth,f,1,22.0,50.0,39.0,37.0
102,2011-04-11-13-29-54,brush_teeth,f,1,20.0,48.0,40.0,36.0
103,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
104,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,39.0,36.333333333333336
105,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0,36.333333333333336
106,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0,36.333333333333336
107,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,38.0,36.333333333333336
108,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
109,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,40.0,37.0
110,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,40.0,37.0
111,2011-04-11-13-29-54,brush_teeth,f,1,21.0,49.0,39.0,36.333333333333336
112,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,40.0,36.666666666666664
113,2011-04-11-13-29-54,brush_teeth,f,1,22.0,48.0,40.0,36.666666666666664
114,2011-04-11-13-29-54,brush_teeth,f,1,21.0,50.0,39.0,36.666666666666664
115,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,40.0,37.0
116,2011-04-11-13-29-54,brush_teeth,f,1,23.0,48.0,39.0,36.666666666666664
117,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,39.0,37.0
118,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
119,2011-04-11-13-29-54,brush_teeth,f,1,23.0,49.0,40.0,37.333333333333336
120,2011-04-11-13-29-54,brush_teeth,f,1,23.0,50.0,40.0,37.666666666666664
121,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
122,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
123,2011-04-11-13-29-54,brush_teeth,f,1,22.0,47.0,39.0,36.0
124,2011-04-11-13-29-54,brush_teeth,f,1,22.0,49.0,39.0,36.666666666666664
